date,portfolio,n_pos,cash
2024-01-03,9869188.28552819,7,583305.3050594395
2024-01-04,9888379.71521569,7,583305.3050594395
2024-01-05,9793070.23474694,7,583305.3050594395
2024-01-08,9817953.21912194,7,583305.3050594395
2024-01-09,9803389.62146569,7,583305.3050594395
2024-01-10,9743443.87927819,7,583305.3050594395
2024-01-11,9825063.28162194,7,583305.3050594395
2024-01-12,9826768.65662194,7,583305.3050594395
2024-01-15,9842600.89880944,7,583305.3050594395
2024-01-16,9761713.00037194,7,583305.3050594395
2024-01-17,9582827.94835369,10,343793.42100994004
2024-01-18,9489044.176869314,10,343793.42100994004
2024-01-19,9513753.044029972,12,439346.14949872205
2024-01-22,9496058.577402841,15,621599.2063090925
2024-01-23,9568135.161387216,15,621599.2063090925
2024-01-24,9533161.288340341,15,621599.2063090925
2024-01-25,9568248.317637216,15,621599.2063090925
2024-01-26,9587983.928965341,15,621599.2063090925
2024-01-29,9677152.262949716,15,621599.2063090925
2024-01-30,9695531.442637216,15,621599.2063090925
2024-01-31,9783984.7478421,17,479425.06815460057
2024-02-01,9949440.363076475,17,479425.06815460057
2024-02-02,10194979.00956085,17,479425.06815460057
2024-02-05,10098049.94394596,16,884714.7837897099
2024-02-06,10024468.887156023,16,524035.08637477225
2024-02-07,10066286.86664821,16,524035.08637477225
2024-02-08,10083666.99946071,16,524035.08637477225
2024-02-13,10198396.872507585,16,524035.08637477225
2024-02-14,10102663.934031023,16,524035.08637477225
2024-02-15,10227758.773874773,16,524035.08637477225
2024-02-16,10334097.606882585,16,524035.08637477225
2024-02-19,10471884.91742946,16,524035.08637477225
2024-02-20,10460319.344830547,15,486718.34483054536
2024-02-21,10421001.061627422,15,486718.34483054536
2024-02-22,10420697.712018047,15,486718.34483054536
2024-02-23,10441063.078228984,15,486718.34483054536
2024-02-26,10388810.917096172,15,486718.34483054536
2024-02-27,10331265.509869609,15,486718.34483054536
2024-02-28,10360967.519635234,15,486718.34483054536
2024-02-29,10311964.280377422,15,486718.34483054536
2024-03-04,10311925.134061415,14,432973.98757703946
2024-03-05,10257263.08523329,14,432973.98757703946
2024-03-06,10245452.63210829,14,432973.98757703946
2024-03-07,10287362.270780165,14,432973.98757703946
2024-03-08,10439687.81179579,14,432973.98757703946
2024-03-11,10394757.242500843,14,531895.181953969
2024-03-12,10500037.038399281,14,531895.181953969
2024-03-13,10537785.144844593,14,531895.181953969
2024-03-14,10714645.30155861,14,486111.93241798587
2024-03-15,10547980.026655242,13,382968.9407177414
2024-03-18,10579680.624311492,13,382968.9407177414
2024-03-19,10500524.999311492,13,382968.9407177414
2024-03-20,10527036.372358367,13,382968.9407177414
2024-03-21,10714382.530561492,13,382968.9407177414
2024-03-22,10661699.624311492,13,382968.9407177414
2024-03-25,10651917.362592742,13,382968.9407177414
2024-03-26,10751987.079389617,13,382968.9407177414
2024-03-27,10733596.677045867,13,382968.9407177414
2024-03-28,10736438.821577117,13,382968.9407177414
2024-03-29,10673502.227827117,13,382968.9407177414
2024-04-01,10605280.141889617,13,382968.9407177414
2024-04-02,10529805.04503189,15,649655.0255006391
2024-04-03,10384234.655383453,15,649655.0255006391
2024-04-04,10543522.762805328,15,649655.0255006391
2024-04-05,10490245.777453765,15,649655.0255006391
2024-04-08,10508830.203235015,15,649655.0255006391
2024-04-09,10465026.445422515,15,649655.0255006391
2024-04-11,10363954.516787957,14,755916.5578035815
2024-04-12,10240831.962100457,14,755916.5578035815
2024-04-15,10233364.385928582,14,755916.5578035815
2024-04-16,10091756.647647332,14,755916.5578035815
2024-04-17,10016880.86220215,15,797241.0907177754
2024-04-18,10116189.13563965,15,797241.0907177754
2024-04-19,10039847.594624026,15,797241.0907177754
2024-04-22,10243570.0505222,16,343040.72825657495
2024-04-23,10139262.025131576,16,343040.72825657495
2024-04-24,10195800.677475326,16,343040.72825657495
2024-04-25,10106918.0739597,16,343040.72825657495
2024-04-26,10177553.310287826,16,343040.72825657495
2024-04-29,10270265.380600326,16,343040.72825657495
2024-04-30,10306744.786850326,16,343040.72825657495
2024-05-02,10253338.3864597,16,343040.72825657495
2024-05-03,10244724.6989597,16,343040.72825657495
2024-05-07,10421827.23411595,16,343040.72825657495
2024-05-08,10461542.479233138,16,343040.72825657495
