date,side,tic,name,qty,price,buy_hit,sell_hit,signals,reason,buy_amount,pnl_pct,hold_days
2025-07-01,BUY,138040,메리츠금융지주,44,113300.0,7.0,3.0,"GC,RSI탈출,MACD,BB회귀,200일선,STO_GC,피보나치","1위 신호7개, 잔금50%",4985200.0,,
2026-01-09,SELL,138040,메리츠금융지주,44,101970.0,,,,손절-10%,,-9.999999999999998,128.0
2026-01-09,BUY,068270,셀트리온,23,201904.765625,5.0,1.0,"GC,MACD,BB회귀,W패턴,STO_GC","1위 신호5개, 잔금50%",4643809.609375,,
2026-03-23,SELL,068270,셀트리온,23,181714.2890625,,,,손절-10%,,-9.999999999999998,47.0
2026-03-23,BUY,096770,SK이노베이션,40,111100.0,6.0,1.0,"GC,RSI탈출,BB회귀,200일선,STO_GC,피보나치","1위 신호6개, 잔금50%",4444000.0,,
2026-04-30,SELL,096770,SK이노베이션,40,146500.0,,,,익절+30%(익일시가),,31.863186318631854,27.0
2026-04-30,BUY,000270,기아,33,155400.0,4.0,2.0,"GC,MACD,BB회귀,피보나치","1위 신호4개, 잔금50%",5128200.0,,
2026-06-23,SELL,000270,기아,33,139860.0,,,,손절-10%,,-9.999999999999998,34.0
2026-06-23,BUY,015760,한국전력,128,38500.0,5.0,1.0,"GC,MACD,BB회귀,W패턴,STO_GC","1위 신호5개, 잔금50%",4928000.0,,
