date,portfolio,n_pos,cash
2025-07-15,9830.659301854485,7,1739.1674347890548
2025-07-16,9933.339653111809,7,1739.1674347890548
2025-07-17,9895.299918685665,8,1367.8848033292195
2025-07-18,9898.964004073849,8,1367.8848033292195
2025-07-21,9850.469514470062,10,1101.4972702073665
2025-07-22,9934.080674748382,10,1101.4972702073665
2025-07-23,9993.339570622406,10,1101.4972702073665
2025-07-24,9818.868654267888,11,1243.6099414993344
2025-07-25,9848.103746430974,11,1243.6099414993344
2025-07-28,9824.789476411443,11,1243.6099414993344
2025-07-29,9803.592848897697,11,1451.5527411706462
2025-07-30,9733.195906759025,11,1451.5527411706462
2025-07-31,9672.278861165763,11,1451.5527411706462
2025-08-01,9704.17829886042,10,1753.9405821856164
2025-08-04,9743.231582551827,10,1753.9405821856164
2025-08-05,9766.629608064522,10,1753.9405821856164
2025-08-06,9821.71575918757,10,1753.9405821856164
2025-08-07,9822.374949750338,10,1505.2164567083446
2025-08-08,9886.817241010103,10,1505.2164567083446
2025-08-11,9906.15389567319,10,1505.2164567083446
2025-08-12,9944.052836713228,10,1505.2164567083446
2025-08-13,10021.183787640963,10,1505.2164567083446
2025-08-14,10045.967006024752,10,1505.2164567083446
2025-08-15,10054.700312909517,10,1505.2164567083446
2025-08-18,10063.186229047213,10,1505.2164567083446
2025-08-19,10123.216624555025,10,1505.2164567083446
2025-08-20,10174.464793500338,10,1505.2164567083446
2025-08-21,10131.621089276705,10,1505.2164567083446
2025-08-22,10206.34772807065,10,1505.2164567083446
2025-08-25,10125.273448285494,10,1505.2164567083446
2025-08-26,10153.389323529635,10,1505.2164567083446
2025-08-27,10166.163401898775,10,1505.2164567083446
2025-08-28,10164.860530194674,10,1505.2164567083446
2025-08-29,10216.40047770444,10,1505.2164567083446
2025-09-02,10223.526713666353,10,1505.2164567083446
2025-09-03,10261.557582196627,10,1505.2164567083446
2025-09-04,10327.721309003267,10,1505.2164567083446
2025-09-05,10304.5796616644,10,1505.2164567083446
2025-09-08,10255.723460492525,10,1505.2164567083446
2025-09-09,10240.912699994478,10,1505.2164567083446
2025-09-10,10195.725886639986,10,1505.2164567083446
2025-09-11,10406.991343793306,10,1505.2164567083446
2025-09-12,10390.864390668306,10,1505.2164567083446
2025-09-15,10409.1158539378,11,1385.8642517649478
2025-09-16,10397.467874201471,11,1385.8642517649478
2025-09-17,10488.669763239557,11,1385.8642517649478
2025-09-18,10438.254722572023,12,889.5274886853035
2025-09-19,10446.423614478761,12,889.5274886853035
2025-09-22,10450.0452117688,12,889.5274886853035
2025-09-23,10414.33013150757,12,889.5274886853035
2025-09-24,10381.692298865968,12,889.5274886853035
2025-09-25,10354.120719886476,12,889.5274886853035
2025-09-26,10399.218086219484,12,889.5274886853035
2025-09-29,10439.387992835695,12,889.5274886853035
2025-09-30,10572.039894080812,12,889.5274886853035
2025-10-01,10620.39754128561,12,598.8082621108063
2025-10-02,10585.019461741438,11,753.5437461042318
2025-10-03,10624.779509654036,11,753.5437461042318
2025-10-06,10576.352698435774,11,753.5437461042318
2025-10-07,10616.775557627669,11,753.5437461042318
2025-10-08,10550.801291575423,11,753.5437461042318
2025-10-09,10541.072280039778,11,753.5437461042318
2025-10-10,10494.59944068431,11,753.5437461042318
2025-10-13,10495.372977108907,12,1013.396429867696
2025-10-14,10595.69984325881,12,1013.396429867696
2025-10-15,10579.42305645461,12,1013.396429867696
2025-10-16,10520.72156414504,12,1013.396429867696
2025-10-17,10619.907057614279,12,1013.396429867696
2025-10-20,10661.806158871603,12,1013.396429867696
