date,side,tic,name,qty,price,buy_hit,reason,pnl_pct,hold_days
2024-01-03,BUY,207940,삼성바이오로직스,1,1202353.125,7.0,TOP7 1/7,,
2024-01-03,BUY,033780,KT&G,17,81409.15454671858,5.0,TOP7 1/7,,
2024-01-03,BUY,011200,HMM,72,19620.784985645707,5.0,TOP7 1/7,,
2024-01-03,BUY,373220,LG에너지솔루션,3,425500.0,4.0,TOP7 1/7,,
2024-01-03,BUY,035720,카카오,25,56872.9808414311,4.0,TOP7 1/7,,
2024-01-03,BUY,017670,SK텔레콤,31,44709.03938703141,4.0,TOP7 1/7,,
2024-01-03,BUY,012330,현대모비스,6,221995.3982142857,4.0,TOP7 1/7,,
2024-01-17,SELL,012330,현대모비스,6,199795.85839285713,,손절-10%,-9.999999999999998,10.0
2024-01-17,BUY,015760,한국전력,13,18395.46101159115,4.0,TOP7 1/7,,
2024-01-17,BUY,138040,메리츠금융지주,4,60626.09773569915,3.0,TOP7 1/7,,
2024-01-17,BUY,035420,NAVER,1,225020.91795091325,2.0,TOP7 1/7,,
2024-01-17,BUY,011200,HMM,13,19479.628887007388,2.0,TOP7 1/7,,
2024-01-17,BUY,316140,우리금융지주,24,10548.933562374497,2.0,TOP7 1/7,,
2024-01-17,BUY,017670,SK텔레콤,5,44483.69212186868,2.0,TOP7 1/7,,
2024-01-19,SELL,373220,LG에너지솔루션,3,382950.0,,손절-10%,-9.999999999999998,12.0
2024-01-19,BUY,316140,우리금융지주,20,10532.094777634707,4.0,TOP7 1/7,,
2024-01-19,BUY,017670,SK텔레콤,4,44393.54975037917,4.0,TOP7 1/7,,
2024-01-19,BUY,005930,삼성전자,3,70281.10033885542,4.0,TOP7 1/7,,
2024-01-19,BUY,138040,메리츠금융지주,3,59142.58984375,3.0,TOP7 1/7,,
2024-01-19,BUY,000660,SK하이닉스,1,136361.73812367304,3.0,TOP7 1/7,,
2024-01-19,BUY,009150,삼성전기,1,137820.74033898304,3.0,TOP7 1/7,,
2024-01-22,SELL,011200,HMM,85,17639.27676526857,,손절-10%,-9.999999999999986,13.0
2024-01-22,BUY,086790,하나금융지주,7,35410.72965909091,5.0,TOP7 1/7,,
2024-01-22,BUY,017670,SK텔레콤,6,44618.89771865521,5.0,TOP7 1/7,,
2024-01-22,BUY,000660,SK하이닉스,1,142752.1364831697,4.0,TOP7 1/7,,
2024-01-22,BUY,024110,기업은행,28,9652.544337621228,4.0,TOP7 1/7,,
2024-01-22,BUY,005380,현대차,1,159899.60914075514,4.0,TOP7 1/7,,
2024-01-22,BUY,000270,기아,3,75051.11989320526,4.0,TOP7 1/7,,
2024-01-29,SELL,086790,하나금융지주,7,39051.48994814116,,익절+10%(익일시가),10.28151728049911,4.0
2024-01-29,BUY,105560,KB금융,2,48402.693043221676,7.0,TOP7 1/7,,
2024-01-29,BUY,086790,하나금융지주,3,39051.48994814116,7.0,TOP7 1/7,,
2024-01-29,BUY,055550,신한지주,3,36121.22601273148,6.0,TOP7 1/7,,
2024-01-29,BUY,316140,우리금융지주,11,11054.070439279256,6.0,TOP7 1/7,,
2024-01-29,BUY,015760,한국전력,6,18424.20412803558,6.0,TOP7 1/7,,
2024-01-29,BUY,000270,기아,1,81041.52161536536,5.0,TOP7 1/7,,
2024-01-29,BUY,024110,기업은행,12,9901.7484375,5.0,TOP7 1/7,,
2024-01-30,SELL,000270,기아,4,86432.8756377551,,익절+10%(익일시가),12.912241082812415,5.0
2024-01-30,BUY,105560,KB금융,1,50198.71484375,7.0,TOP7 1/7,,
2024-01-30,BUY,086790,하나금융지주,1,40135.046875,7.0,TOP7 1/7,,
2024-01-30,BUY,316140,우리금융지주,6,11365.57128544292,7.0,TOP7 1/7,,
2024-01-30,BUY,032830,삼성생명,1,60618.920592705166,7.0,TOP7 1/7,,
2024-01-31,SELL,035420,NAVER,1,202518.82615582194,,손절-10%,-9.999999999999998,10.0
2024-01-31,BUY,032830,삼성생명,1,60803.7353219697,8.0,TOP7 1/7,,
2024-01-31,BUY,105560,KB금융,1,49480.302720572,6.0,TOP7 1/7,,
2024-01-31,BUY,316140,우리금융지주,5,11306.63883017944,6.0,TOP7 1/7,,
2024-02-01,SELL,138040,메리츠금융지주,7,68241.4466517857,,익절+10%(익일시가),13.754118289785765,10.0
2024-02-01,BUY,055550,신한지주,2,37252.84915900735,7.0,TOP7 1/7,,
2024-02-01,BUY,086790,하나금융지주,2,41738.711031400235,7.0,TOP7 1/7,,
2024-02-01,BUY,316140,우리금융지주,9,11710.748216299444,7.0,TOP7 1/7,,
2024-02-01,BUY,032830,삼성생명,1,64037.97292351973,6.0,TOP7 1/7,,
2024-02-02,SELL,316140,우리금융지주,75,12232.722715998896,,익절+10%(익일시가),12.49729846432832,11.0
2024-02-02,SELL,024110,기업은행,40,10973.33046830745,,익절+10%(익일시가),12.809558536691036,8.0
2024-02-02,SELL,005380,현대차,1,194282.83683232378,,익절+10%(익일시가),21.503009217053215,8.0
2024-02-02,SELL,105560,KB금융,4,56035.779411764706,,익절+10%(익일시가),14.076798708896266,3.0
2024-02-02,SELL,086790,하나금융지주,6,47329.879360465115,,익절+10%(익일시가),17.94778701724189,3.0
2024-02-02,SELL,032830,삼성생명,3,71153.30357142857,,익절+10%(익일시가),15.097156766635965,2.0
2024-02-02,BUY,028260,삼성물산,2,147778.77863357431,7.0,TOP7 1/7,,
2024-02-02,BUY,005380,현대차,1,194282.83683232378,7.0,TOP7 1/7,,
2024-02-02,BUY,105560,KB금융,6,56035.779411764706,7.0,TOP7 1/7,,
2024-02-02,BUY,086790,하나금융지주,8,47329.879360465115,7.0,TOP7 1/7,,
2024-02-02,BUY,316140,우리금융지주,31,12232.722715998896,7.0,TOP7 1/7,,
2024-02-02,BUY,032830,삼성생명,5,71153.30357142857,6.0,TOP7 1/7,,
2024-02-05,SELL,207940,삼성바이오로직스,1,1308443.125,,익절+10%(익일시가),8.823530940629443,22.0
2024-02-05,SELL,055550,신한지주,5,40195.05046106557,,익절+10%(익일시가),9.90098851425536,4.0
