종목,티커,계좌,평가액,종가,신호수,해당신호,RSI,고점DD,1M,추세
QLD,QLD,,1048712,92,4,"GC,BB회귀,W패턴,STO_GC",49.3,-7.7,-7.2,단기↑
노보 노디스크,NVO,,991301,48,2,"GC,MACD",72.8,-63.6,15.9,단기↑
C3AI,AI,,835303,8,1,STO_GC,23.4,-79.1,-16.3,단기↓
팔란티어,PLTR,,786308,130,4,"RSI탈출,MACD,BB회귀,STO_GC",52.5,-36.8,-8.0,단기↓
TSMC,TSM,,707108,454,2,"MACD,BB회귀",56.6,-4.9,4.2,단기↑
나이키,NKE,,691623,42,1,STO_GC,39.7,-51.0,-3.5,단기↓
센트러스 에너지,LEU,,585706,174,4,"GC,MACD,BB회귀,STO_GC",55.4,-60.0,-4.1,단기↓
오라클,ORCL,,563979,142,2,"BB회귀,STO_GC",17.2,-56.4,-38.3,단기↓
조비에비에이션,JOBY,,520247,8,3,"RSI탈출,BB회귀,STO_GC",45.9,-56.7,-22.7,단기↓
코인베이스 글로벌,COIN,,499621,162,2,"MACD,STO_GC",51.8,-61.3,-0.4,단기↓
누스케일파워,SMR,,359276,9,3,"RSI탈출,MACD,BB회귀",50.3,-81.4,-19.1,단기↓
스타벅스,SBUX,,308017,102,0,-,48.5,-8.5,6.9,단기↑
오클로,OKLO,,280795,52,1,STO_GC,39.4,-70.0,-20.0,단기↓
더본코리아,475560,,226500,14710,2,"MACD,STO_GC",38.4,-70.6,-10.1,단기↓
