date,portfolio,n_pos,cash
2024-01-03,9869188.28552819,7,583305.3050594395
2024-01-04,9888379.71521569,7,583305.3050594395
2024-01-05,9793070.23474694,7,583305.3050594395
2024-01-08,9817953.21912194,7,583305.3050594395
2024-01-09,9803389.62146569,7,583305.3050594395
2024-01-10,9743443.87927819,7,583305.3050594395
2024-01-11,9825063.28162194,7,583305.3050594395
2024-01-12,9826768.65662194,7,583305.3050594395
2024-01-15,9842600.89880944,7,583305.3050594395
2024-01-16,9761713.00037194,7,583305.3050594395
2024-01-17,9582827.94835369,10,343793.42100994004
2024-01-18,9489044.176869314,10,343793.42100994004
2024-01-19,9513753.044029972,12,439346.14949872205
2024-01-22,9496058.577402841,15,621599.2063090925
2024-01-23,9568135.161387216,15,621599.2063090925
2024-01-24,9533161.288340341,15,621599.2063090925
2024-01-25,9568248.317637216,15,621599.2063090925
2024-01-26,9587983.928965341,15,621599.2063090925
2024-01-29,9689905.271580622,17,139932.72568218384
2024-01-30,9713332.663796477,17,265741.92356210324
2024-01-31,9796854.333369672,16,300983.07946342224
2024-02-01,9982310.96084432,15,450179.23232869536
2024-02-02,10198216.144266084,15,777580.4743442079
2024-02-05,10080723.464641584,15,1317733.046672834
2024-02-06,10025961.887493147,15,1317733.046672834
2024-02-07,10147022.084758772,15,1317733.046672834
2024-02-08,10203409.936321272,15,1317733.046672834
2024-02-13,10303218.172427569,16,1112445.055240068
2024-02-14,10189791.16834025,14,1095179.35584025
2024-02-15,10328789.337285563,14,1095179.35584025
2024-02-16,10385137.81677775,14,1095179.35584025
2024-02-19,10528575.427129313,14,1095179.35584025
2024-02-20,10501149.98733767,14,649370.0820642314
2024-02-21,10453218.101595482,14,649370.0820642314
2024-02-22,10494469.88968142,14,649370.0820642314
2024-02-23,10542838.82327517,14,649370.0820642314
2024-02-26,10453377.740428582,14,544195.687694207
2024-02-27,10426522.508006707,14,544195.687694207
2024-02-28,10487029.011912957,14,544195.687694207
2024-02-29,10433266.48163952,14,544195.687694207
2024-03-04,10435510.629100457,14,544195.687694207
2024-03-05,10356658.78419275,15,555956.5888802502
2024-03-06,10333867.386338605,16,601327.0738386052
2024-03-07,10338229.851186033,16,598828.8707172837
2024-03-08,10449919.36974072,16,598828.8707172837
2024-03-11,10405253.28976117,15,608027.593472109
2024-03-12,10499135.08663617,15,608027.593472109
2024-03-13,10560726.984097108,15,608027.593472109
2024-03-14,10740315.203311127,15,562244.3439361259
2024-03-15,10586179.730760077,16,728430.2541975764
2024-03-18,10590989.363898259,15,502613.60608575924
2024-03-19,10553951.652960759,15,502613.60608575924
2024-03-20,10620509.043585759,15,502613.60608575924
2024-03-21,10798509.727179509,15,502613.60608575924
2024-03-22,10733598.250617009,15,502613.60608575924
2024-03-25,10728606.129523259,15,502613.60608575924
2024-03-26,10818934.508429509,15,502613.60608575924
2024-03-27,10817258.801398259,15,502613.60608575924
2024-03-28,10826420.395148259,15,502613.60608575924
2024-03-29,10775777.115788069,18,1072784.018131819
2024-04-01,10774790.418522444,18,1072784.018131819
2024-04-02,10654628.722436666,16,331392.6618897918
2024-04-03,10517929.123089548,15,737426.9111754849
2024-04-04,10646152.771527048,15,737426.9111754849
2024-04-05,10544435.930706736,15,737426.9111754849
2024-04-08,10563960.36625361,15,737426.9111754849
2024-04-09,10562283.805706736,15,737426.9111754849
2024-04-11,10437753.844293322,14,762576.3403870731
2024-04-12,10339279.462054633,15,633441.9933046324
2024-04-15,10368956.951312445,15,633441.9933046324
2024-04-16,10119900.865374945,15,633441.9933046324
2024-04-17,10069425.875036456,13,1384607.8711302045
2024-04-18,10149335.610388018,13,1384607.8711302045
2024-04-19,10127540.965856768,13,1384607.8711302045
2024-04-22,10299706.61917708,13,1384607.8711302045
2024-04-23,10160318.51761458,13,1384607.8711302045
2024-04-24,10247898.33677799,16,154791.6375592405
2024-04-25,10130911.45005924,16,154791.6375592405
2024-04-26,10233721.32896549,16,154791.6375592405
2024-04-29,10391732.042288646,16,230207.3733433324
2024-04-30,10387011.023733959,16,230207.3733433324
2024-05-02,10379517.547171459,16,230207.3733433324
2024-05-03,10334915.421194896,16,230207.3733433324
2024-05-07,10539129.425101146,16,230207.3733433324
2024-05-08,10552886.530569896,16,230207.3733433324
