date,portfolio,n_pos,cash
2025-07-15,9830.659301854485,7,1739.1674347890548
2025-07-16,9933.339653111809,7,1739.1674347890548
2025-07-17,9895.810180760735,7,1739.1674347890548
2025-07-18,9899.006843663567,7,1739.1674347890548
2025-07-21,9846.471588231438,7,1739.1674347890548
2025-07-22,9941.812133885735,7,1739.1674347890548
2025-07-23,10048.113693333977,7,1739.1674347890548
2025-07-24,9938.984871007317,7,1739.1674347890548
2025-07-25,10016.805191136711,7,1739.1674347890548
2025-07-28,10019.178222752922,7,1739.1674347890548
2025-07-29,9927.01183328759,7,1739.1674347890548
2025-07-30,9870.917381383293,7,1739.1674347890548
2025-07-31,9760.602409459465,7,1739.1674347890548
2025-08-01,9825.708419896477,7,1739.1674347890548
2025-08-04,9863.063049413078,7,1739.1674347890548
2025-08-05,9878.528404332512,7,1739.1674347890548
2025-08-06,9911.380157567375,7,1739.1674347890548
2025-08-07,9849.249773790492,9,1514.011561205044
2025-08-08,9933.337191393031,9,1514.011561205044
2025-08-11,9967.516466905727,9,1514.011561205044
2025-08-12,10003.540064623012,9,1514.011561205044
2025-08-13,10080.730212022914,9,1514.011561205044
2025-08-14,10100.182764818324,9,1514.011561205044
2025-08-15,10103.807276537074,9,1514.011561205044
2025-08-18,10131.381632616176,9,1514.011561205044
2025-08-19,10145.894472887172,9,1514.011561205044
2025-08-20,10177.781023790492,9,1514.011561205044
2025-08-21,10160.267878343715,9,1514.011561205044
2025-08-22,10279.325999071254,9,1514.011561205044
2025-08-25,10206.521097948207,9,1514.011561205044
2025-08-26,10245.26347618307,9,1514.011561205044
2025-08-27,10237.423296739711,9,1514.011561205044
2025-08-28,10214.652270128383,9,1514.011561205044
2025-08-29,10219.979357530727,9,1514.011561205044
2025-09-02,10214.133982469692,9,1514.011561205044
2025-09-03,10235.204829027309,9,1514.011561205044
2025-09-04,10283.493815233363,9,1514.011561205044
2025-09-05,10294.789126207485,9,1514.011561205044
2025-09-08,10237.688204576625,9,1514.011561205044
2025-09-09,10252.101809312953,9,1514.011561205044
2025-09-10,10200.649256517543,9,1514.011561205044
2025-09-11,10416.486918260707,9,1514.011561205044
2025-09-12,10448.204096605434,9,1514.011561205044
2025-09-15,10534.888228568707,12,1763.111243400251
2025-09-16,10514.351271781597,12,1763.111243400251
2025-09-17,10574.267775687847,12,1763.111243400251
2025-09-18,10541.703063163433,12,1763.111243400251
2025-09-19,10551.954070243512,12,1763.111243400251
2025-09-22,10556.991225394879,12,1763.111243400251
2025-09-23,10508.475150260601,12,1763.111243400251
2025-09-24,10488.908972892437,12,1763.111243400251
2025-09-25,10432.078971061383,12,1763.111243400251
2025-09-26,10441.588553580914,12,1763.111243400251
2025-09-29,10471.674338493023,12,1763.111243400251
2025-09-30,10653.386794242535,12,1763.111243400251
2025-10-01,10807.843667638139,14,918.7527862904824
2025-10-02,10796.716485631303,14,918.7527862904824
2025-10-03,10812.147546422319,14,918.7527862904824
2025-10-06,10851.503213536576,14,918.7527862904824
2025-10-07,10889.858275128732,15,1080.8621203435757
2025-10-08,10848.756193829904,15,1080.8621203435757
2025-10-09,10880.367560101877,15,1080.8621203435757
2025-10-10,10760.347571088205,15,1080.8621203435757
2025-10-13,10806.991331769357,15,1080.8621203435757
2025-10-14,10848.123869611154,15,1080.8621203435757
2025-10-15,10833.067938519845,15,1080.8621203435757
2025-10-16,10741.811255170236,15,1080.8621203435757
2025-10-17,10848.221213055978,15,1080.8621203435757
2025-10-20,10915.28344602717,15,1080.8621203435757
