date,side,tic,name,qty,price,buy_hit,reason,pnl_pct,hold_days
2025-07-15,BUY,LLY,Eli Lilly,1,796.0387314065523,8.0,TOP7 1/7,,
2025-07-15,BUY,COST,Costco,1,973.7684869326118,6.0,TOP7 1/7,,
2025-07-15,BUY,TSLA,Tesla,4,319.67999267578125,5.0,TOP7 1/7,,
2025-07-15,BUY,MRK,Merck,17,81.06968754565423,4.0,TOP7 1/7,,
2025-07-15,BUY,BRK-B,Berkshire B,3,475.29998779296875,4.0,TOP7 1/7,,
2025-07-15,BUY,MA,Mastercard,2,549.6845683369102,4.0,TOP7 1/7,,
2025-07-15,BUY,ABBV,AbbVie,7,185.79985826494044,4.0,TOP7 1/7,,
2025-07-17,SELL,LLY,Eli Lilly,1,756.2367948362247,,손절-5%,-4.999999999999993,2.0
2025-07-17,BUY,TSLA,Tesla,1,323.1499938964844,6.0,TOP7 1/7,,
2025-07-17,BUY,ABBV,AbbVie,1,184.61790141418845,6.0,TOP7 1/7,,
2025-07-17,BUY,JNJ,Johnson&Johnson,2,159.20215592676115,4.0,TOP7 1/7,,
2025-07-17,BUY,PG,P&G,2,149.73267239253965,4.0,TOP7 1/7,,
2025-07-21,SELL,MRK,Merck,17,77.01620316837152,,손절-5%,-5.000000000000004,4.0
2025-07-21,BUY,TSLA,Tesla,1,334.3999938964844,6.0,TOP7 1/7,,
2025-07-21,BUY,AAPL,Apple,1,211.2618775331451,4.0,TOP7 1/7,,
2025-07-21,BUY,PG,P&G,2,151.76469592541798,4.0,TOP7 1/7,,
2025-07-21,BUY,BAC,Bank of America,8,46.52649182200281,3.0,TOP7 1/7,,
2025-07-21,BUY,HD,Home Depot,1,351.3777327432187,3.0,TOP7 1/7,,
2025-07-24,SELL,TSLA,Tesla,6,306.5760767618815,,손절-5%,-5.000000000000004,7.0
2025-07-24,BUY,TSLA,Tesla,1,310.0,5.0,TOP7 1/7,,
2025-07-24,BUY,ABBV,AbbVie,2,186.3370876474039,5.0,TOP7 1/7,,
2025-07-24,BUY,HD,Home Depot,1,365.7554840130025,5.0,TOP7 1/7,,
2025-07-24,BUY,CRM,Salesforce,1,265.7309264123049,5.0,TOP7 1/7,,
2025-07-24,BUY,BAC,Bank of America,8,47.45624207204233,4.0,TOP7 1/7,,
2025-07-29,SELL,COST,Costco,1,925.0800625859812,,손절-5%,-5.000000000000004,10.0
2025-07-29,BUY,CRM,Salesforce,1,269.32053202424413,7.0,TOP7 1/7,,
2025-07-29,BUY,WMT,Walmart,3,96.9692591237833,5.0,TOP7 1/7,,
2025-07-29,BUY,PG,P&G,1,155.26837677032339,4.0,TOP7 1/7,,
2025-08-01,SELL,BAC,Bank of America,16,44.64179859967144,,손절-5%,-5.000000000000004,9.0
2025-08-01,SELL,CRM,Salesforce,2,252.84993562930927,,손절(갭)-5.5%,-5.485750335808337,6.0
2025-08-01,BUY,WMT,Walmart,3,97.18743530332945,5.0,TOP7 1/7,,
2025-08-01,BUY,CRM,Salesforce,1,252.84993562930927,3.0,TOP7 1/7,,
2025-08-01,BUY,ABBV,AbbVie,2,185.51657612822234,3.0,TOP7 1/7,,
2025-08-07,SELL,CRM,Salesforce,1,240.2074388478438,,손절-5%,-5.000000000000004,4.0
2025-08-07,BUY,KO,Coca-Cola,4,67.54701641074455,8.0,TOP7 1/7,,
2025-08-07,BUY,AAPL,Apple,1,218.01508808955717,6.0,TOP7 1/7,,
2025-09-15,SELL,TSLA,Tesla,1,423.1300048828125,,익절+20%(익일시가),36.49354996219758,35.0
2025-09-15,BUY,WMT,Walmart,2,103.0306650415607,5.0,TOP7 1/7,,
2025-09-15,BUY,NVDA,NVIDIA,1,175.44623766911022,4.0,TOP7 1/7,,
2025-09-15,BUY,AMD,AMD,1,160.00999450683594,3.0,TOP7 1/7,,
2025-09-18,SELL,AMD,AMD,1,150.9600067138672,,손절(갭)-5.7%,-5.655889071718024,3.0
2025-09-18,BUY,PG,P&G,1,154.77904661120462,6.0,TOP7 1/7,,
2025-09-18,BUY,KO,Coca-Cola,3,65.45846562038378,5.0,TOP7 1/7,,
2025-09-18,BUY,PEP,PepsiCo,1,136.6071796233971,5.0,TOP7 1/7,,
2025-09-18,BUY,MRK,Merck,2,79.36884369028421,5.0,TOP7 1/7,,
2025-10-01,SELL,ABBV,AbbVie,12,228.22289154055977,,익절+20%(익일시가),22.869797602180817,54.0
2025-10-01,BUY,PG,P&G,3,150.42389846609262,8.0,TOP7 1/7,,
2025-10-01,BUY,BRK-B,Berkshire B,1,502.5,7.0,TOP7 1/7,,
2025-10-01,BUY,KO,Coca-Cola,7,65.17429132233272,7.0,TOP7 1/7,,
2025-10-01,BUY,PEP,PepsiCo,3,136.77228738292192,6.0,TOP7 1/7,,
2025-10-01,BUY,MRK,Merck,6,83.24836434547959,5.0,TOP7 1/7,,
2025-10-01,BUY,V,Visa,1,338.23712004026567,5.0,TOP7 1/7,,
2025-10-01,BUY,JNJ,Johnson&Johnson,2,182.79785791373442,5.0,TOP7 1/7,,
2025-10-02,SELL,AAPL,Apple,2,255.85613542550084,,익절+20%(익일시가),19.203291075429597,51.0
2025-10-02,BUY,KO,Coca-Cola,2,65.19388664524624,7.0,TOP7 1/7,,
2025-10-02,BUY,MRK,Merck,1,87.89986854718374,6.0,TOP7 1/7,,
2025-10-02,BUY,PEP,PepsiCo,1,137.821323783428,6.0,TOP7 1/7,,
2025-10-13,SELL,PG,P&G,9,144.01090696054834,,손절-5%,-5.000000000000004,61.0
2025-10-13,BUY,KO,Coca-Cola,4,64.89991312561031,8.0,TOP7 1/7,,
2025-10-13,BUY,PEP,PepsiCo,2,144.38746685569063,5.0,TOP7 1/7,,
2025-10-13,BUY,CRM,Salesforce,1,241.27087476728906,4.0,TOP7 1/7,,
2025-10-13,BUY,NFLX,Netflix,2,122.13500213623047,4.0,TOP7 1/7,,
2025-10-22,SELL,NFLX,Netflix,2,114.29000091552734,,손절(갭)-6.4%,-6.423221094271359,7.0
2025-10-22,BUY,XOM,Exxon,1,110.9684405659551,6.0,TOP7 1/7,,
2025-10-22,BUY,NFLX,Netflix,1,114.29000091552734,5.0,TOP7 1/7,,
2025-10-30,SELL,NVDA,NVIDIA,1,204.88867704045037,,익절+20%(익일시가),16.78145952999477,32.0
2025-10-30,BUY,XOM,Exxon,1,113.88325805189164,6.0,TOP7 1/7,,
2025-10-30,BUY,CVX,Chevron,1,150.64844385334325,6.0,TOP7 1/7,,
2025-11-03,SELL,NFLX,Netflix,1,108.57550086975097,,손절-5%,-5.000000000000004,8.0
2025-11-03,BUY,BAC,Bank of America,2,52.41446881643379,4.0,TOP7 1/7,,
2025-11-18,SELL,MA,Mastercard,2,522.2003399200646,,손절-5%,-5.000000000000004,89.0
2025-11-18,SELL,HD,Home Depot,2,333.05375717149207,,손절(갭)-7.1%,-7.115233435154411,85.0
2025-11-18,SELL,V,Visa,1,321.3252640382524,,손절-5%,-5.000000000000004,34.0
2025-11-18,SELL,CRM,Salesforce,1,229.20733102892459,,손절-5%,-5.000000000000004,26.0
2025-11-18,BUY,JNJ,Johnson&Johnson,2,195.58387723766617,7.0,TOP7 1/7,,
2025-11-18,BUY,PEP,PepsiCo,3,144.0475195828104,5.0,TOP7 1/7,,
2025-11-18,BUY,ABBV,AbbVie,1,231.20621424913995,5.0,TOP7 1/7,,
2025-11-18,BUY,WMT,Walmart,4,102.36467540534484,5.0,TOP7 1/7,,
2025-11-18,BUY,MRK,Merck,4,91.96505523209873,4.0,TOP7 1/7,,
2025-11-18,BUY,KO,Coca-Cola,6,69.56431152148734,4.0,TOP7 1/7,,
