date,portfolio,n_pos,cash
2025-07-16,10128.300627439316,3,305.71810790806603
2025-07-17,10011.24650451451,3,305.71810790806603
2025-07-18,10036.969847410019,3,305.71810790806603
2025-07-21,10004.692824094589,3,305.71810790806603
2025-07-22,10142.421690671737,3,305.71810790806603
2025-07-23,10323.554259031112,3,305.71810790806603
2025-07-24,10418.779768674667,3,305.71810790806603
2025-07-25,10399.946257322128,3,305.71810790806603
2025-07-28,10370.9281603983,3,305.71810790806603
2025-07-29,10246.836424558456,3,305.71810790806603
2025-07-30,10141.419493406112,3,305.71810790806603
2025-07-31,9967.92751952916,3,305.71810790806603
2025-08-01,10104.107924192245,3,305.71810790806603
2025-08-04,10198.664030759628,3,305.71810790806603
2025-08-05,10224.55526611119,3,305.71810790806603
2025-08-06,10137.97146484166,3,305.71810790806603
2025-08-07,9883.737381449066,5,296.8148198035576
2025-08-08,9971.191116800628,5,296.8148198035576
2025-08-11,9956.682754984222,5,296.8148198035576
2025-08-12,9983.236099710784,5,296.8148198035576
2025-08-13,10022.764938822113,5,296.8148198035576
2025-08-14,9999.447220316253,5,296.8148198035576
2025-08-15,10074.259796610198,5,296.8148198035576
2025-08-18,10017.839172830902,5,296.8148198035576
2025-08-19,10012.928650369964,5,296.8148198035576
2025-08-20,10079.143005838714,5,296.8148198035576
2025-08-21,10099.073837747894,5,296.8148198035576
2025-08-22,10162.484024515472,5,296.8148198035576
2025-08-25,10110.190521707855,5,296.8148198035576
2025-08-26,10076.47998093637,5,296.8148198035576
2025-08-27,10127.444595804534,5,296.8148198035576
2025-08-28,10094.352951517425,5,296.8148198035576
2025-08-29,10152.996475687347,5,296.8148198035576
2025-09-02,10191.713501444183,5,296.8148198035576
2025-09-03,10118.21876572641,5,296.8148198035576
2025-09-04,10133.227173319183,5,296.8148198035576
2025-09-05,10043.848923197113,5,296.8148198035576
2025-09-08,10046.216400614105,5,296.8148198035576
2025-09-09,10067.622177591644,5,296.8148198035576
2025-09-10,10072.015747537933,5,296.8148198035576
2025-09-11,10142.410522928558,5,296.8148198035576
2025-09-12,10107.818329325042,5,296.8148198035576
2025-09-15,10095.995956888519,5,296.8148198035576
2025-09-16,10133.040588846527,5,296.8148198035576
2025-09-17,10179.20930527719,5,296.8148198035576
2025-09-18,10074.500351419769,5,296.8148198035576
2025-09-19,10054.221313944183,5,296.8148198035576
2025-09-22,9986.23927353891,5,296.8148198035576
2025-09-23,10063.195343485198,5,296.8148198035576
2025-09-24,10108.093613138519,5,296.8148198035576
2025-09-25,10143.812622537933,5,296.8148198035576
2025-09-26,10135.53305100473,5,296.8148198035576
2025-09-29,10089.971466532073,5,296.8148198035576
2025-09-30,10153.885117044769,5,296.8148198035576
2025-10-01,10132.099579325042,5,296.8148198035576
2025-10-02,10103.43425034555,5,296.8148198035576
2025-10-03,10152.06477402719,5,296.8148198035576
2025-10-06,10122.90219218067,4,663.8885508232476
2025-10-07,10174.524468486823,4,663.8885508232476
2025-10-08,10152.445168560063,4,663.8885508232476
2025-10-09,10166.884865825688,4,663.8885508232476
2025-10-10,10081.679635506393,4,718.2421049888139
2025-10-13,10145.893899422408,4,718.2421049888139
2025-10-14,10190.355073433639,4,718.2421049888139
2025-10-15,10173.494393807174,4,718.2421049888139
2025-10-16,10123.906686287643,4,718.2421049888139
2025-10-17,10225.252885323287,4,718.2421049888139
2025-10-20,10281.481255989791,4,718.2421049888139
2025-10-21,10404.85911701274,4,718.2421049888139
2025-10-22,10441.850320320846,4,718.2421049888139
2025-10-23,10415.761079293014,4,718.2421049888139
2025-10-24,10369.387071114303,4,718.2421049888139
2025-10-27,10381.45384357524,4,718.2421049888139
2025-10-28,10332.454324227096,4,718.2421049888139
2025-10-29,10248.755715828658,4,718.2421049888139
2025-10-30,10249.88760517192,4,718.2421049888139
2025-10-31,10320.542016487838,4,718.2421049888139
2025-11-03,10175.233148079635,4,718.2421049888139
2025-11-04,10237.210557442428,4,718.2421049888139
